"short id","full name","party","state","state","distinct","canonical URL","url1","url2"
"jenkins","Jenkins, William L.","R"," Tennessee","TN",1,"http://house.gov/jenkins/","gov.house.www/jenkins",
"john","John, Chris","D"," Louisiana","LA",7,"http://house.gov/john/","gov.house.www/john",
"ebjohnson","Johnson, Eddie Bernice","D"," Texas","TX",30,"http://house.gov/ebjohnson/",,
"nancyjohnson","Johnson, Nancy L.","R"," Connecticut","CT",5,"http://house.gov/nancyjohnson/",,
"samjohnson","Johnson, Sam","R"," Texas","TX",3,"http://www.samjohnson.house.gov/",,
"timjohnson","Johnson, Timothy V.","R"," Illinois","IL",15,"http://house.gov/timjohnson/",,
"tubbsjones","Jones, Stephanie Tubbs","D"," Ohio","OH",11,"http://house.gov/tubbsjones/",,
"jones","Jones, Walter B.","R"," North Carolina","NC",3,"http://house.gov/jones/","gov.house.www/jones","gov.house.jones"
"kanjorski","Kanjorski, Paul E.","D"," Pennsylvania","PA",11,"http://house.gov/kanjorski/","gov.house.www/kanjorski",
"kaptur","Kaptur, Marcy","D"," Ohio","OH",9,"http://house.gov/kaptur/","gov.house.wwwc/kaptur","gov.house.www/kaptur"
"keller","Keller, Ric","R"," Florida","FL",8,"http://house.gov/keller/Frset.htm","gov.house.www/keller",
"suekelly","Kelly, Sue","R"," New York","NY",19,"http://house.gov/suekelly/","gov.house.www/suekelly",
"markkennedy","Kennedy, Mark","R"," Minnesota","MN",6,"http://markkennedy.house.gov/",,
"patrickkennedy","Kennedy, Patrick J.","D"," Rhode Island","RI",1,"http://house.gov/patrickkennedy/",,
"kildee","Kildee, Dale E.","D"," Michigan","MI",5,"http://house.gov/kildee/","gov.house.www/kildee",
"kilpatrick","Kilpatrick, Carolyn Cheeks","D"," Michigan","MI",13,"http://house.gov/kilpatrick/","gov.house.www/kilpatrick",
"kind","Kind, Ron","D"," Wisconsin","WI",3,"http://house.gov/kind/","gov.house.www/kind",
"king","King, Peter T.","R"," New York","NY",3,"http://house.gov/king/","gov.house.www/king",
"steveking","King, Steve","R"," Iowa","IA",5,"http://www.house.gov/steveking/",,
"kingston","Kingston, Jack","R"," Georgia","GA",1,"http://house.gov/kingston/",,
"kirk","Kirk, Mark Steven","R"," Illinois","IL",10,"http://house.gov/kirk/","gov.house.www/kirk",
"kleczka","Kleczka, Jerry","D"," Wisconsin","WI",4,"http://house.gov/kleczka/","gov.house.www/kleczka",
"knollenberg","Knollenberg, Joe","R"," Michigan","MI",9,"http://house.gov/knollenberg/","gov.house.www/knollenberg",
"kolbe","Kolbe, Jim","R"," Arizona","AZ",8,"http://house.gov/kolbe/","gov.house.www/kolbe",
"kucinich","Kucinich, Dennis J.","D"," Ohio","OH",10,"http://house.gov/kucinich/","gov.house.www/kucinich",
"lahood","LaHood, Ray","R"," Illinois","IL",18,"http://house.gov/lahood/","gov.house.www/lahood",
"lampson","Lampson, Nick","D"," Texas","TX",9,"http://house.gov/lampson/","gov.house.www/lampson",
"langevin","Langevin, James","D"," Rhode Island","RI",2,"http://house.gov/langevin/","gov.house.www/langevin",
"lantos","Lantos, Tom","D"," California","CA",12,"http://house.gov/lantos/","gov.house.www/lantos",
"larsen","Larsen, Rick","D"," Washington","WA",2,"http://house.gov/larsen/","gov.house.www/larsen",
"larson","Larson, John B.","D"," Connecticut","CT",1,"http://house.gov/larson/","gov.house.www/larson",
"latham","Latham, Tom","R"," Iowa","IA",4,"http://house.gov/latham/","gov.house.www/latham",
"latourette","LaTourette, Steven C.","R"," Ohio","OH",14,"http://house.gov/latourette/","gov.house.www/latourette",
"leach","Leach, Jim","R"," Iowa","IA",2,"http://house.gov/leach/","gov.house.www/leach",
"lee","Lee, Barbara","D"," California","CA",9,"http://house.gov/lee/","gov.house.www/lee",
"jerrylewis","Lewis, Jerry","R"," California","CA",41,"http://house.gov/jerrylewis/","gov.house.www/jerrylewis",
"johnlewis","Lewis, John","D"," Georgia","GA",5,"http://house.gov/johnlewis/",,
